timestamp,rms_db,rms_delta,centroid,rolloff,flatness,low,mid,high,spectral_flux,onset_strength,device_id,channel,note,velocity,cc_number,cc_value,program_number,type
1767433733686834000,,,,,,,,,,,11,0,11.0,,,2.0,,polytouch
1767433734361189000,,,,,,,,,,,11,0,32.0,,,2.0,,polytouch
1767433735001224000,,,,,,,,,,,11,1,,,11.0,0.0,,control_change
1767433735747108000,,,,,,,,,,,11,1,,,11.0,2.0,,control_change
1767433737897063000,,,,,,,,,,,11,1,,,11.0,3.0,,control_change
1767433738590481000,,,,,,,,,,,11,1,,,11.0,1.0,,control_change
1767433739227894000,,,,,,,,,,,11,1,,,32.0,2.0,,control_change
1767433739939375000,,,,,,,,,,,11,1,,,2.0,32.0,,control_change
1767433739939670000,,,,,,,,,,,11,1,,,2.0,3.0,,control_change
1767433740624612000,,,,,,,,,,,11,1,,,2.0,0.0,,control_change
1767433741276642000,,,,,,,,,,,11,1,,,32.0,2.0,,control_change
1767433741899313000,,,,,,,,,,,11,1,,,11.0,3.0,,control_change
1767433748716759000,-39.90120315551758,0.009741200134158134,3108.9390078720307,7640.625,0.345907598733902,2.6389195919036865,0.14502175152301788,0.01735507696866989,0.3145221471786499,0.009741200134158134,11,1,,,11.0,3.0,,control_change
1767433748738158000,-36.432193756103516,0.004965221509337425,2408.7747101542604,5062.5,0.26772457361221313,4.031805992126465,0.13030679523944855,0.015864849090576172,0.18337975442409515,0.004965221509337425,11,1,,,11.0,3.0,,control_change
1767433748759361000,-37.6044921875,-0.0019038617610931396,2559.909661597714,5671.875,0.2837739884853363,3.6883087158203125,0.11278047412633896,0.015065769664943218,0.11139477044343948,0.0,11,1,,,11.0,3.0,,control_change
1767433748780686000,-37.31509017944336,0.00044639408588409424,3533.6074297891482,8953.125,0.3945440948009491,3.4675209522247314,0.24141713976860046,0.029735172167420387,0.14517565071582794,0.00044639408588409424,11,1,,,11.0,3.0,,control_change
1767433748801852000,-37.14422607421875,0.0002706153318285942,2059.6128353776085,3656.25,0.22663402557373047,3.6583409309387207,0.09558676928281784,0.0109083978459239,0.14529061317443848,0.0002706153318285942,11,1,,,11.0,3.0,,control_change
1767433748823261000,-38.19889450073242,-0.001588510349392891,2898.7686678368573,6890.625,0.32243719696998596,3.3968772888183594,0.1395401507616043,0.017667444422841072,0.10207940638065338,0.0,11,1,,,11.0,3.0,,control_change
1767433748844337000,-38.06576156616211,0.00019004475325345993,3349.3630307995336,8390.625,0.37407782673835754,3.1340243816375732,0.2118096649646759,0.024762187153100967,0.11004582792520523,0.00019004475325345993,11,1,,,11.0,3.0,,control_change
1767433748866023000,-38.30420684814453,-0.00033832620829343796,1352.168168140018,1125.0,0.14181382954120636,3.1900155544281006,0.06540753692388535,0.005263044964522123,0.13681097328662872,0.0,11,1,,,11.0,3.0,,control_change
1767433748887247000,-38.95636749267578,-0.0008792784065008163,2985.1688611069944,7171.875,0.3323758542537689,2.986266613006592,0.1446126252412796,0.017142625525593758,0.1009572222828865,0.0,11,1,,,11.0,3.0,,control_change
1767433748908580000,-39.16376495361328,-0.00026606954634189606,3156.1522530620955,7734.375,0.35248222947120667,2.8240933418273926,0.17397981882095337,0.019829971715807915,0.07609310001134872,0.0,11,1,,,11.0,3.0,,control_change
1767433748930215000,-40.34727096557617,-0.0014025485143065453,1172.854249240803,796.875,0.11751913279294968,2.4734244346618652,0.06293834000825882,0.003529370529577136,0.10041268169879913,0.0,11,1,,,11.0,3.0,,control_change
1767433748951463000,-41.8680419921875,-0.001543194055557251,2703.1785574614914,6140.625,0.2980901598930359,2.0570719242095947,0.10179498046636581,0.010370675474405289,0.10050062090158463,0.0,11,1,,,11.0,3.0,,control_change
